Timestamp,Value
0,-2.0
1,-0.010000000000000009
2,-1.04
3,5.91
4,10.84
5,6.75
6,6.640000000000001
7,14.51
8,14.36
9,12.190000000000001
10,18.0
11,19.79
12,21.56
13,20.31
14,29.04
15,31.75
16,32.44
17,35.11
18,34.76
19,29.39
20,41.0
21,34.59
22,36.16
23,36.71
24,47.24
25,48.75
26,49.24
27,41.71
28,51.16
29,47.59
30,56.0
31,53.39
32,52.76
33,59.11
34,53.44
35,60.75
36,64.03999999999999
37,61.31
38,57.56
39,67.78999999999999
40,66.0
41,62.19
42,71.36
43,68.51
44,63.64
45,70.75
46,69.84
47,70.91
48,70.96
49,74.99
50,80.0
51,74.99
52,71.96
53,75.91
54,79.84
55,83.75
56,77.64
57,84.51
58,78.36
59,84.19
60,79.0
61,84.79
62,84.56
63,87.31
64,85.04
65,92.75
66,90.44
67,87.11
68,86.76
69,91.39
70,91.0
71,96.59
72,91.16
73,91.71
74,90.24
75,98.75
76,96.24
77,92.71
78,98.16
79,99.59
80,95.0
81,92.39
82,97.76
83,96.11
84,96.44
85,94.75
86,100.04
87,98.31
88,98.56
89,102.79
90,94.0
91,100.19
92,94.36
93,97.51
94,104.64
95,97.75
96,101.84
97,98.91
98,94.96
99,104.99
100,100.0
101,99.99
102,101.96
103,104.91
104,102.84
105,101.75
106,95.64
107,104.51
108,94.36
109,98.19
110,104.0
111,101.79
112,100.56
113,95.31
114,98.04
115,99.75
116,98.44
117,99.11
118,95.76
119,91.39
120,97.0
121,92.59
122,97.16
123,94.71
124,90.24
125,91.75
126,93.24
127,91.71
128,93.16
129,96.59
130,89.0
131,85.39
132,89.76
133,86.11
134,86.44
135,83.75
136,85.04
137,82.31
138,81.56
139,89.79
140,81.0
141,81.19
142,85.36
143,79.51
144,83.64
145,74.75
146,75.84
147,82.91
148,79.96
149,79.99
150,72.0
151,74.99
152,76.96
153,76.91
154,75.84
155,65.75
156,65.64
157,63.510000000000005
158,70.36
159,63.19
160,61.0
161,59.79
162,65.56
163,61.31
164,58.04
165,60.75
166,55.44
167,51.11
168,51.76
169,55.39
170,47.0
171,50.59
172,45.16
173,46.71
174,47.24
175,45.75
176,40.24
177,41.71
178,34.16
179,42.59
180,35.0
181,35.39
182,37.76
183,32.11
184,30.44
185,28.75
186,25.04
187,29.31
188,18.56
189,15.79
190,15.0
191,14.190000000000001
192,15.36
193,10.51
194,12.64
195,5.75
196,10.84
197,6.91
198,3.96
199,-0.010000000000000009
