Quantized Value,Lower Slope,Upper Slope,Time Points
0,0.863,0.86,[0]
85,0.248,0.243,[732]
85,0.307,0.306,[109]
85,0.327,0.323,[424]
95,-0.404,-0.406,[806]
95,-0.293,-0.296,[172]
95,-0.249,-0.254,[484]
70,-0.821,-0.835,[235]
70,-0.732,-0.734,[544]
5,0.86,0.86,[320]
5,0.901,0.898,[636]
10,-0.426,-0.462,[617]
60,-0.839,-0.864,[877]
5,0.855,0.854,[948]
5,0.865,0.864,[1891]
5,0.869,0.867,[1577]
5,0.87,0.87,[1263]
85,0.295,0.293,[1679]
85,0.301,0.296,[1365]
85,0.341,0.341,[1053]
95,-0.319,-0.32,[1744]
95,-0.303,-0.303,[1429]
95,-0.227,-0.228,[1111]
75,-0.807,-0.811,[1170]
70,-0.834,-0.841,[1493]
65,-0.789,-0.802,[1809]
85,0.307,0.307,"[2308, 1994]"
85,0.328,0.321,[2623]
95,-0.292,-0.294,[2371]
95,-0.276,-0.278,[2056]
95,-0.247,-0.252,[2683]
70,-0.819,-0.837,[2434]
70,-0.801,-0.815,[2118]
70,-0.723,-0.724,[2743]
5,0.86,0.858,[2519]
5,0.864,0.861,[2205]
5,0.922,0.921,[2836]
10,-0.351,-0.354,[2814]
80,0.439,0.438,[2928]
95,-0.339,-0.343,[3316]
95,-0.32,-0.321,[3629]
95,-0.023,-0.031,[2986]
85,-0.627,-0.627,[3033]
85,0.283,0.282,[3249]
85,0.295,0.294,[3564]
85,0.314,0.308,[3879]
30,-0.763,-0.779,[3109]
5,0.865,0.864,[3776]
5,0.87,0.867,[3462]
5,0.874,0.871,[3148]
65,-0.812,-0.82,[3382]
65,-0.788,-0.801,[3694]
95,-0.404,-0.405,[4890]
95,-0.292,-0.295,[4256]
95,-0.276,-0.278,[3941]
95,-0.248,-0.252,[4568]
70,-0.82,-0.836,[4319]
70,-0.802,-0.815,[4003]
70,-0.727,-0.728,[4628]
5,0.86,0.859,[4404]
5,0.864,0.862,[4090]
5,0.896,0.896,[4720]
85,0.251,0.251,[4817]
85,0.307,0.305,[4193]
85,0.327,0.322,[4508]
10,-0.384,-0.442,[4700]
60,-0.838,-0.839,[4961]
5,0.869,0.868,"[5661, 5347]"
5,0.875,0.871,[5033]
85,0.283,0.282,[5134]
85,0.295,0.295,"[5763, 5449]"
95,-0.339,-0.344,[5201]
95,-0.318,-0.318,[5828]
95,-0.296,-0.302,[5513]
65,-0.812,-0.819,[5267]
65,-0.789,-0.803,[5893]
70,-0.822,-0.832,[5576]
5,0.86,0.859,[6289]
5,0.865,0.862,[5975]
5,0.901,0.897,[6605]
85,0.248,0.242,[6701]
85,0.307,0.306,[6078]
85,0.327,0.323,[6393]
95,-0.404,-0.406,[6775]
95,-0.293,-0.296,[6141]
95,-0.248,-0.253,[6453]
70,-0.82,-0.836,[6204]
70,-0.728,-0.732,[6513]
10,-0.388,-0.439,[6585]
60,-0.838,-0.864,[6846]
5,0.855,0.854,[6917]
5,0.865,0.863,[7860]
5,0.869,0.869,"[7546, 7232]"
85,0.295,0.295,"[7648, 7334]"
85,0.341,0.34,[7022]
95,-0.319,-0.319,[7713]
95,-0.297,-0.303,[7398]
95,-0.227,-0.227,[7080]
75,-0.806,-0.812,[7139]
70,-0.823,-0.831,[7461]
65,-0.789,-0.802,[7778]
85,0.307,0.307,"[8277, 7963]"
85,0.328,0.32,[8592]
95,-0.293,-0.293,"[8026, 8340]"
95,-0.247,-0.251,[8652]
70,-0.821,-0.835,"[8403, 8089]"
70,-0.719,-0.722,[8712]
5,0.859,0.857,[8488]
5,0.864,0.86,[8174]
5,0.922,0.92,[8805]
10,-0.324,-0.339,[8782]
80,0.439,0.437,[8897]
95,-0.319,-0.32,[9598]
95,-0.304,-0.304,[9283]
95,-0.276,-0.278,[9910]
95,-0.023,-0.03,[8955]
85,-0.623,-0.627,[9002]
85,0.295,0.293,[9533]
85,0.301,0.296,[9219]
85,0.314,0.308,[9848]
30,-0.739,-0.76,[9077]
5,0.865,0.864,[9745]
5,0.87,0.87,"[9431, 9117]"
70,-0.834,-0.841,[9347]
65,-0.789,-0.802,[9663]
