Timestamp,Value
0,-5.0
1,-2.26
2,0.48
3,3.22
4,5.96
5,8.7
6,11.44
7,14.18
8,16.92
9,10.0
10,13.15
11,16.3
12,19.45
13,22.6
14,25.75
15,28.9
16,32.05
17,35.2
18,38.35
19,25.0
20,41.0
21,30.0
22,34.46
23,38.92
24,43.38
25,47.84
26,52.3
27,40.0
28,46.23
29,52.46
30,58.69
31,50.0
32,52.39
33,54.78
34,57.17
35,59.56
36,61.95
37,64.34
38,55.0
39,62.89
40,70.78
41,60.0
42,66.56
43,73.12
44,60.0
45,66.56
46,73.12
47,70.0
48,72.08
49,74.16
50,76.24
51,78.32
52,70.0
53,73.04
54,76.08
55,79.12
56,82.16
57,85.2
58,75.0
59,79.35
60,83.7
61,88.05
62,80.0
63,83.22
64,86.44
65,89.66
66,92.88
67,85.0
68,86.8
69,88.6
70,90.4
71,92.2
72,94.0
73,95.8
74,90.0
75,95.39
76,100.78
77,90.0
78,93.25
79,96.5
80,99.75
81,90.0
82,93.25
83,96.5
84,99.75
85,90.0
86,95.39
87,100.78
88,95.0
89,98.62
90,90.0
91,95.39
92,90.0
93,95.39
94,100.78
95,95.0
96,98.62
97,102.24
98,90.0
99,104.99
100,100.0
101,100.04
102,100.08
103,100.12
104,100.16
105,100.2
106,100.24
107,100.28
108,90.0
109,95.39
110,100.78
111,106.17
112,100.0
113,99.37
114,98.74
115,98.11
116,97.48
117,96.85
118,96.22
119,95.59
120,94.96
121,94.33
122,93.7
123,93.07
124,92.44
125,91.81
126,91.18
127,90.55
128,89.92
129,95.0
130,92.49
131,89.98
132,87.47
133,84.96
134,82.45
135,79.94
136,85.0
137,85.08
138,85.16
139,85.24
140,85.32
141,85.4
142,85.48
143,75.0
144,79.35
145,70.0
146,74.47
147,78.94
148,83.41
149,75.0
150,74.26
151,73.52
152,72.78
153,72.04
154,71.3
155,70.56
156,69.82
157,60.0
158,66.56
159,60.0
160,60.4
161,60.8
162,61.2
163,61.6
164,62.0
165,62.4
166,55.0
167,53.67
168,52.34
169,51.01
170,49.68
171,48.35
172,47.02
173,45.69
174,44.36
175,43.03
176,41.7
177,40.37
178,39.04
179,37.71
180,36.38
181,35.05
182,33.72
183,32.39
184,31.06
185,29.73
186,28.4
187,27.07
188,15.0
189,13.97
190,12.94
191,11.91
192,10.88
193,9.85
194,8.82
195,7.79
196,6.76
197,5.73
